,slidename,order,sample,notes
0,13829$2019-104-9$US$SCAN$OR$001 .svs,13829,2019-104-9,Immuno
0,13829$2019-104-10$US$SCAN$OR$001 .svs,13829,2019-104-10,Control
0,13829$2019-104-11$US$SCAN$OR$001 .svs,13829,2019-104-11,Immuno
0,13829$2019-014-9$US$SCAN$OR$001 .svs,13829,2019-014-9,Pentachrome
0,13829$2019-014-8$US$SCAN$OR$001 .svs,13829,2019-014-8,Control
0,13829$2019-014-7$US$SCAN$OR$001 .svs,13829,2019-014-7,Immuno
0,13829$2019-014-10$US$SCAN$OR$001 .svs,13829,2019-014-10,Immuno
0,13829$2019-019-6$US$SCAN$OR$001 .svs,13829,2019-019-6,Pentachrome
0,13829$2019-019-8$US$SCAN$OR$001 .svs,13829,2019-019-8,Immuno
0,13829$2019-019-9$US$SCAN$OR$001 .svs,13829,2019-019-9,Immuno
0,13829$2019-019-10$US$SCAN$OR$001 .svs,13829,2019-019-10,Immuno
0,13829$2019-046-7$US$SCAN$OR$001 .svs,13829,2019-046-7,Pentachrome
0,13829$2019-046-9$US$SCAN$OR$001 .svs,13829,2019-046-9,Immuno
0,13829$2019-046-8$US$SCAN$OR$001 .svs,13829,2019-046-8,Control
0,13829$2019-046-10$US$SCAN$OR$001 .svs,13829,2019-046-10,Immuno
0,13829$2019-046-11$US$SCAN$OR$001 .svs,13829,2019-046-11,Immuno
0,13829$2019-013-7$US$SCAN$OR$001 .svs,13829,2019-013-7,Control
0,13829$2019-013-8$US$SCAN$OR$001 .svs,13829,2019-013-8,Pentachrome
0,13829$2019-013-9$US$SCAN$OR$001 .svs,13829,2019-013-9,Immuno
0,13829$2019-013-10$US$SCAN$OR$001 .svs,13829,2019-013-10,Immuno
0,13829$2019-013-11$US$SCAN$OR$001 .svs,13829,2019-013-11,Immuno
0,13829$2019-035-7$US$SCAN$OR$001 .svs,13829,2019-035-7,Pentachrome
0,13829$2019-035-8$US$SCAN$OR$001 .svs,13829,2019-035-8,Immuno
0,13829$2019-035-9$US$SCAN$OR$001 .svs,13829,2019-035-9,Immuno
0,13829$2019-035-10$US$SCAN$OR$001 .svs,13829,2019-035-10,Control
0,13829$2019-035-11$US$SCAN$OR$001 .svs,13829,2019-035-11,Immuno
0,13829$2019-016-7$US$SCAN$OR$001 .svs,13829,2019-016-7,Pentachrome
0,13829$2019-016-9$US$SCAN$OR$001 .svs,13829,2019-016-9,Immuno
0,13829$2019-016-8$US$SCAN$OR$001 .svs,13829,2019-016-8,Immuno
0,13829$2019-016-10$US$SCAN$OR$001 .svs,13829,2019-016-10,Immuno
0,13829$2019-016-11$US$SCAN$OR$001 .svs,13829,2019-016-11,Control
0,13829$2019-016-12$US$SCAN$OR$001 .svs,13829,2019-016-12,Control
0,13829$2019-016-13$US$SCAN$OR$001 .svs,13829,2019-016-13,Control
0,13829$2019-017-7$US$SCAN$OR$001 .svs,13829,2019-017-7,Immuno
0,13829$2019-017-8$US$SCAN$OR$001 .svs,13829,2019-017-8,Immuno
0,13829$2019-017-10$US$SCAN$OR$001 .svs,13829,2019-017-10,Pentachrome
0,13829$2019-017-11$US$SCAN$OR$001 .svs,13829,2019-017-11,Control
0,13829$2019-018-7$US$SCAN$OR$001 .svs,13829,2019-018-7,Immuno
0,13829$2019-018-8$US$SCAN$OR$001 .svs,13829,2019-018-8,Immuno
0,13829$2019-018-9$US$SCAN$OR$001 .svs,13829,2019-018-9,Immuno
0,13829$2019-018-10$US$SCAN$OR$001 .svs,13829,2019-018-10,Pentachrome
0,13829$2019-027-9$US$SCAN$OR$001 .svs,13829,2019-027-9,Immuno
0,13829$2019-030-9$US$SCAN$OR$001 .svs,13829,2019-030-9,Immuno
0,13829$2019-030-10$US$SCAN$OR$001 .svs,13829,2019-030-10,Control
0,13829$2019-030-12$US$SCAN$OR$001 .svs,13829,2019-030-12,Control
0,13829$2019-030-11$US$SCAN$OR$001 .svs,13829,2019-030-11,Immuno
0,13829$2019-012-7$US$SCAN$OR$001 .svs,13829,2019-012-7,Pentachrome
0,13829$2019-030-13$US$SCAN$OR$001 .svs,13829,2019-030-13,Immuno
0,13829$2019-030-14$US$SCAN$OR$001 .svs,13829,2019-030-14,Immuno
0,13829$2019-012-8$US$SCAN$OR$001 .svs,13829,2019-012-8,Pentachrome
0,13829$2019-012-9$US$SCAN$OR$001 .svs,13829,2019-012-9,Immuno
0,13829$2019-012-10$US$SCAN$OR$001 .svs,13829,2019-012-10,Immuno
0,13829$2019-012-11$US$SCAN$OR$001 .svs,13829,2019-012-11,
0,13829$2019-026-7$US$SCAN$OR$001 .svs,13829,2019-026-7,Pentachrome
0,13829$2019-034-7$US$SCAN$OR$001 .svs,13829,2019-034-7,Pentachrome
0,13829$2019-034-8$US$SCAN$OR$001 .svs,13829,2019-034-8,Control
0,13829$2019-026-8$US$SCAN$OR$001 .svs,13829,2019-026-8,Control
